cl	chr	domain	n	start_Mb	end_Mb	span_kb	max_lp
21	IV	arm	260	14.52198	15.832176	1310.196	8.836050392342866
7	III	centre	1	5.965738	5.965738	0	8.683655944476012
29	X	arm	3	4.875969	4.940771	64.802	7.830758607050545
18	IV	arm	21	13.379448	13.415016	35.568	7.486125726495751
22	IV	arm	21	15.933983	16.120474	186.491	7.2912756247291055
20	IV	arm	29	14.11489	14.311667	196.777	6.760647958151364
10	III	arm	15	12.70244	12.799602	97.162	6.310338430975925
23	IV	arm	7	16.352270999999998	16.459878	107.607	5.950214275842992
17	IV	centre	59	12.719495	13.139782	420.287	5.649576166769226
31	X	arm	3	5.79727	5.804019	6.749	5.6160988603571225
25	V	arm	2	0.605052	0.605248	0.196	5.401123408631322
12	IV	arm	1	1.690286	1.690286	0	5.361342848303252
15	IV	centre	2	10.527642	10.60629	78.648	5.1741423339925445
19	IV	arm	7	13.705467	13.963992	258.525	5.125671575061348
30	X	arm	1	5.636922	5.636922	0	5.037189158766143
14	IV	centre	1	8.422727	8.422727	0	5.028355111392736
27	V	centre	1	14.892543	14.892543	0	4.940693372612501
32	X	arm	1	14.75264	14.75264	0	4.906870861647761
26	V	centre	1	10.617882	10.617882	0	4.894444174129889
13	IV	arm	1	2.42437	2.42437	0	4.85903464878257
11	IV	arm	1	0.773445	0.773445	0	4.829002661445337
28	V	arm	1	17.856778	17.856778	0	4.811612964867144
3	III	centre	9	3.818173	3.973556	155.383	4.7576297890278605
4	III	centre	3	4.114523	4.131857	17.334	4.7576297890278605
5	III	centre	4	4.406748	4.532016	125.268	4.7576297890278605
6	III	centre	3	4.678345	4.683905	5.56	4.7576297890278605
24	IV	arm	2	17.097544	17.097545	0.001	4.701617045297259
9	III	arm	1	12.348879	12.348879	0	4.684694402801365
1	III	arm	1	3.086343	3.086343	0	4.671589813519674
2	III	arm	1	3.443463	3.443463	0	4.667859588547972
8	III	arm	1	12.193834	12.193834	0	4.607899160000076
16	IV	centre	2	12.076653	12.089152	12.499	4.604766242996983
