gwas_gene	chrom	ps	key	cross_LOD_at_peak	marker_dist_kb	chrom_peak_LOD	chrom_peak_position	inside_interval	cross	contrast	label
mig-6	V	14647434	N2xXZ1516 | ht115 vs mig6	489.801624548457	0.305	806.108545708514	10764743	FALSE	N2xXZ1516	HT115-mig6	ht115 vs mig6
mig-6	V	14647434	N2xXZ1516 | ht115 vs par1	89.248979917147	0.305	90.0208350799356	14545025	TRUE	N2xXZ1516	HT115-par1	ht115 vs par1
mig-6	V	14647434	N2xXZ1516 | ht115 vs pos1	0.0347586661710155	0.305	74.7480108386512	10884782	FALSE	N2xXZ1516	HT115-pos1	ht115 vs pos1
mig-6	V	14647434	N2xXZ1516 | ht115 vs rpn12	68.1783053302277	0.305	97.6740460650292	10755286	FALSE	N2xXZ1516	HT115-rpn12	ht115 vs rpn12
mig-6	V	14647434	N2xXZ1516 | ht115 vs vha5	75.8570558364046	0.305	135.405359575919	11904912	FALSE	N2xXZ1516	HT115-vha5	ht115 vs vha5
mig-6	V	14647434	N2xXZ1516 | mig6 vs par1	145.429157206841	0.305	440.475106394845	10675810	FALSE	N2xXZ1516	mig6-par1	mig6 vs par1
mig-6	V	14647434	N2xXZ1516 | mig6 vs rpn12	174.019227997109	0.305	310.699599091571	12484824	FALSE	N2xXZ1516	mig6-rpn12	mig6 vs rpn12
mig-6	V	14647434	N2xXZ1516 | mig6 vs vha5	52.7200535999062	0.305	81.9290826110248	10805330	FALSE	N2xXZ1516	mig6-vha5	mig6 vs vha5
mig-6	V	14647434	N2xXZ1516 | par1 vs rpn12	1.01826909805967	0.305	86.5341616640899	1295218	FALSE	N2xXZ1516	par1-rpn12	par1 vs rpn12
mig-6	V	14647434	N2xXZ1516 | par1 vs vha5	2.74845148663814	0.305	45.8615275753508	10415020	FALSE	N2xXZ1516	par1-vha5	par1 vs vha5
mig-6	V	14647434	N2xXZ1516 | pos1 vs mig6	511.736192848919	0.305	730.261431098777	13805216	FALSE	N2xXZ1516	pos1-mig6	pos1 vs mig6
mig-6	V	14647434	N2xXZ1516 | pos1 vs par1	97.9343968397931	0.305	114.854389180977	16355052	FALSE	N2xXZ1516	pos1-par1	pos1 vs par1
mig-6	V	14647434	N2xXZ1516 | pos1 vs rpn12	75.730823685162	0.305	126.973632412318	1385004	FALSE	N2xXZ1516	pos1-rpn12	pos1 vs rpn12
mig-6	V	14647434	N2xXZ1516 | pos1 vs vha5	81.5693541908713	0.305	121.591625229714	13735008	FALSE	N2xXZ1516	pos1-vha5	pos1 vs vha5
mig-6	V	14647434	N2xXZ1516 | rpn12 vs vha5	6.40548803948565	0.305	22.1691322275439	20487924	FALSE	N2xXZ1516	rpn12-vha5	rpn12 vs vha5
mig-6	V	14647434	JU1793xJU2466 | ht115 vs mig6	2.29162357438975	0	30.6568127687936	284869	FALSE	JU1793xJU2466	HT115g-MIG6g	ht115 vs mig6
mig-6	V	14647434	JU1793xJU2466 | ht115 vs pos1	5.4323548302878	0	5.50079307357239	14534981	TRUE	JU1793xJU2466	HT115g-POS1g	ht115 vs pos1
mig-6	V	14647434	JU1793xJU2466 | mig6 vs pos1	0.43838275981629	0	39.5709605655503	1665116	FALSE	JU1793xJU2466	MIG6g-POS1g	mig6 vs pos1
