Mb	R2
9.71847	0.000827832
9.718477	0.000412116
9.718722	0.00473934
9.718814	0.003432
9.718871	0.00473934
9.718887	0.00565242
9.718917	0.0458696
9.719223	0.0562047
9.719347	0.00473934
9.719378	0.000412116
9.719417	0.0194465
9.719512	0.00209705
9.719517	0.00209705
9.719577	0.0152421
9.719681	0.00225469
9.719682	0.00658241
9.719822	0.0141473
9.719824	0.0141473
9.71989	0.000827832
9.719909	0.003432
9.719992	0.00658241
9.720046	1.82016e-06
9.720141	0.000412116
9.720196	0.000412116
9.7202	0.000412116
9.720337	0.000412116
9.720493	0.000827832
9.720549	0.000415887
9.720573	0.000827832
9.720597	0.000412116
9.720739	0.0152421
9.720853	0.000827832
9.720889	0.00125865
9.720942	0.000412116
9.721046	0.00658241
9.721053	0.00658241
9.721205	0.000827832
9.721415	0.000412116
9.721503	0.000412116
9.721683	0.00209705
9.721734	0.00124719
9.721746	0.000827832
9.721772	0.00658241
9.721813	0.086113
9.721843	0.000415887
9.721847	0.0859661
9.722013	0.000412116
9.722025	0.00209705
9.722155	0.000827832
9.722277	0.000412116
9.722486	0.00209705
9.72251	0.0218328
9.722564	0.000412116
9.722684	0.00209705
9.722692	0.000827832
9.723044	0.000412116
9.723145	0.00611527
9.723146	0.000412116
9.723326	0.000412116
9.723395	0.0141473
9.723415	0.000827832
9.723494	0.000412116
9.723504	0.00209705
9.723543	0.00658241
9.723621	0.000827832
9.723651	0.0141473
9.723727	0.0145239
9.723746	0.00565242
9.724023	0.000827832
9.724154	0.0021164
9.724208	0.00473934
9.724276	0.000415887
9.724503	0.0192536
9.72458	0.00124719
9.724651	0.0021164
9.724659	0.013608
9.724736	0.0152421
9.724872	0.00473934
9.724877	0.00252765
9.724988	0.00565242
9.725011	0.00565242
9.72503	0.00209705
9.725055	0.000827832
9.725085	0.000412116
9.725114	0.000827832
9.72515	0.000827832
9.725226	0.000412116
9.725276	0.0152421
9.725285	0.000412116
9.725476	0.000412116
9.725524	0.000412116
9.725692	0.000412116
9.725903	0.0194465
9.725973	0.000412116
9.725986	0.0194465
9.726024	0.00124719
9.726106	0.00658241
9.726139	0.000412116
9.726154	0.000412116
9.726246	0.000415887
9.726338	0.000412116
9.726359	0.00658241
9.726443	0.000412116
9.726495	0.000827832
9.7266	0.00252765
9.726617	0.000412116
9.726804	0.0458696
9.726905	0.000827832
9.727068	0.000827832
9.727106	0.0120217
9.727187	0.00340042
9.727343	0.000827832
9.727415	0.00658241
9.727473	0.00252765
9.727478	0.000827832
9.727489	0.0152421
9.727755	0.000412116
9.727837	0.0136967
9.727883	0.000412116
9.727904	0.000415887
9.727925	0.000827832
9.72795	0.00658241
9.72803	0.000412116
9.728194	0.000412116
9.728297	0.000827832
9.728349	0.000827832
9.728351	0.000827832
9.728374	0.00658241
9.728465	0.00658241
9.728584	0.000412116
9.728721	0.000412116
9.728753	0.00252765
9.728951	0.000412116
9.728999	0.00039322
9.729006	0.00039322
9.729015	0.0194465
9.729032	0.000396825
9.729053	0.000835422
9.729144	0.0108696
9.729234	0.000400481
9.729305	0.0140124
9.729372	0.000412116
9.729486	0.00658241
9.729487	0.00658241
9.729562	0.00565242
9.729632	0.000412116
9.730005	0.00627275
