cross	cond	track	chrom	peak.position	peak.LOD	lcon	rcon	peak.rank	width.kb	significant	lod_mig6	lod_pos1
N2xXZ1516	pos-1	pos-1	I	13465244	29.8973739759935	13271474	13552760	1	281.286	TRUE	43.2681762955217	29.8973739759935
N2xXZ1516	pos-1	pos-1	II	3705031	148.435416653047	3591047	3802756	1	211.709	TRUE	98.7573301866509	148.435416653047
N2xXZ1516	pos-1	pos-1	III	13314989	709.853070505491	13110454	13504861	1	394.407	TRUE	939.422710977971	709.853070505491
N2xXZ1516	pos-1	pos-1	IV	12564949	75.372324262476	12388964	12720022	1	331.058	TRUE	61.3450586547025	75.372324262476
N2xXZ1516	pos-1	pos-1	V	10884782	74.7480108386512	10738609	11084410	1	345.801	TRUE	790.939495913319	74.7480108386512
N2xXZ1516	pos-1	pos-1	X	11384777	183.410771429585	11129885	11622101	1	492.216	TRUE	51.2673946192999	183.410771429585
N2xXZ1516	contr	mig-6	I	1876106	751.118651618331	1798297	1964624	1	166.327	TRUE	728.154219694012	0.00508726343387804
N2xXZ1516	contr	mig-6	II	845122	43.681076559782	786143	979532	1	193.389	TRUE	12.2499715757875	9.15738035489492
N2xXZ1516	contr	mig-6	III	427284	165.344064713778	284057	587736	1	303.679	TRUE	108.363222849427	5.33660048614605
N2xXZ1516	contr	mig-6	IV	17492237	167.299162143721	17439826	17492237	1	52.411	TRUE	93.550706801378	9.805378301783
N2xXZ1516	contr	mig-6	V	13805216	730.261431098777	13630989	13909001	1	278.012	TRUE	611.087551037142	3.62229481666992
N2xXZ1516	contr	mig-6	X	13584860	84.5912181769091	13361924	13685018	1	323.094	TRUE	1.76980290846575	60.3974106628757
JU1793xJU2466	pos-1	pos-1	I	964967	14.4434181248204	727377	1082812	1	355.435	TRUE	8.79122109074653	14.4434181248204
JU1793xJU2466	pos-1	pos-1	II	15242948	7.21469967229924	15242948	15242948	1	0	TRUE	31.1509949997114	7.21469967229924
JU1793xJU2466	pos-1	pos-1	III	13783557	139.716308730875	13732616	13783557	1	50.941	TRUE	297.290351050485	139.716308730875
JU1793xJU2466	pos-1	pos-1	IV	6418023	56.7000979266205	5103645	7294613	1	2190.968	TRUE	153.88896382259	56.7000979266205
JU1793xJU2466	pos-1	pos-1	V	14534981	5.50079307357239	14255263	14789130	1	533.867	TRUE	2.61462865202495	5.50079307357239
JU1793xJU2466	pos-1	pos-1	X	6904461	9.35278886743547	6670417	7143934	1	473.517	TRUE	767.037420060736	9.35278886743547
JU1793xJU2466	contr	mig-6	I	7650855	16.5501052022681	7184754	8254409	1	1069.655	TRUE	38.2776509031256	2.74354394547189
JU1793xJU2466	contr	mig-6	II	11364085	15.5932656821912	10837785	12071538	1	1233.753	TRUE	21.8108666259418	0.101027753834439
JU1793xJU2466	contr	mig-6	III	644433	70.2087911260376	434389	882029	1	447.64	TRUE	71.6471521585797	0
JU1793xJU2466	contr	mig-6	IV	3644934	17.5032821097865	3568668	3690290	1	121.622	TRUE	141.642824746517	39.551526555874
JU1793xJU2466	contr	mig-6	V	1665116	39.5709605655506	1512914	1746470	1	233.556	TRUE	28.6170078106058	0.856413713583623
JU1793xJU2466	contr	mig-6	X	5955109	361.427266000544	5659315	6241150	1	581.835	TRUE	687.353185314776	5.79548341841993
