id	section	claim	drafted	computed	verdict	source
S1	NNLS simulation	fitness structure from seven published traits	7	7	MATCH	simulation_fitness_traits.tsv (columns minus strain)
S2	NNLS simulation	sequencing depths simulated 1-500x	1-500	1-500	MATCH	simulation_seeded_r2.tsv depth column
S3	NNLS simulation	NNLS accurately infers strain frequencies with as little as 1X depth	accurate at 1X	at 1x mean r2 per trait ranges 0.51-0.91, median 0.76; mean r2 first reaches 0.95 at 10x; at 500x median r2 = 0.999. The figure script prints 'accuracy at 1x, the depth the text claims: range 0.51-0.91, median 0.76'	MISMATCH	simulation_seeded_r2.tsv + SUPP_FIG_XX_simulation_depth.R output
D1	Dilution	two pooled populations of ~48 strains each	~48 and ~48	set A n=46; set B n=46; set C n=40; set D n=42	MISMATCH	dilution_strain_sets.tsv
D2	Dilution	inferred shares track designed ratios, Pearson r = 0.997	0.997	0.99708	MATCH	dilution_predictions_bcref.tsv.gz vs dilution_design.tsv
D3	Dilution	root mean squared error 0.038 in fraction units	0.038	scripts/SUPP_FIG_XX_dilution_validation.R reports RMSE 0.0376 (max |dev| 0.0803, bias +0.0208); this script's independent recomputation gives 0.0367	MATCH	SUPP_FIG_XX_dilution_validation.R console output (authoritative)
D4	Dilution	largest deviations at the smallest-volume dilution step	largest at smallest volume	largest |dev| at BC1 (0.0803, B volume 0.1 uL); smallest-volume sample is BC1	MATCH	same
M1	MIP-seq	NNLS slopes vs MIP-seq slopes, Spearman rho = 0.97, n = 98 strains, p < 1e-4	rho 0.97, n 98, p < 1e-4	rho = 0.974, n = 98, p = 0	MATCH	baugh_nnls_with_mipseq.RData, slopes per scripts/Figure1_common.R
M2	MIP-seq	agreement largely retained under downsampling, rho = 0.85 at 1x	rho 0.85 at 1x	0.25x rho=0.833; 0.5x rho=0.870; 1x rho=0.851; 3x rho=0.903; 5x rho=0.906; 10x rho=0.904	MATCH	baugh_downsampled_slopes.rda, slopes per scripts/Figure1_common.R
M3	MIP-seq	slopes averaged over five replicate arms	5	5	MATCH	mipseq_frequencies.txt.gz column names
P1	pos-1 pilot	231 pooled wild isolates exposed to pos-1 RNAi	231	231	MATCH	pos1_2023_association_traits.csv.gz, non-NA vst
P2a	pos-1 pilot	populations grown across two replicates	2	4 pos-1 replicate pools (1,2,3,4) and 2 control pools (A,B); 4 pos-1 pools is what yields the six pairwise comparisons the next sentence cites	MISMATCH	pos1_2023_sample_frequencies.csv.gz replicate column
P2b	pos-1 pilot	Spearman rho = 0.77-0.87 across all six pairwise replicate comparisons	0.77-0.87 over 6 pairs	6 pairwise comparisons, rho range 0.766-0.872 [r1-r2=0.87, r1-r3=0.77, r1-r4=0.77, r2-r3=0.80, r2-r4=0.77, r3-r4=0.81]	MATCH	pos1_2023_sample_frequencies.csv.gz
P3	pos-1 pilot	183 of 231 (79%) isolates responsive (lower frequency on pos-1 RNAi)	183/231 = 79%	183 of 231 = 79.2% have delta_ctrl < 0	MATCH	pos1_2023_association_traits.csv.gz delta_ctrl_pos-1_T2 < 0
P5	pos-1 pilot	manually re-evaluated pos-1 responses of 191 wild strains	191	191	MATCH	plate_scores_pos1.tsv
P6	pos-1 pilot	93 strains with robust responses pooled for further assays	93	93	MATCH	pooled_vst_traits.csv.gz rows
P7	pos-1 pilot	manual plate scores vs pooled response, rho = 0.41, p = 7.8e-6, n = 111	rho 0.41, p 7.8e-6, n 111	rho = 0.410, p = 7.8e-06, n = 111	MATCH	plate_scores_pos1.tsv vs pos1_2023_association_traits.csv.gz (VST), per SUPP_FIG script
P8	pos-1 pilot	manual phenotypes vs Paaby et al. 2015, rho = -0.55, p = 0.014, n = 19	rho -0.55, p 0.014, n 19	rho = -0.551, p = 0.0145, n = 19	MATCH	plate_scores_pos1.tsv vs paaby2015_embryonic_lethality.txt.gz, per SUPP_FIG script
P4a	pos-1 pilot	QTL on the right arm of chromosome IV passed Bonferroni	chrIV right arm, Bonferroni	chrIV Bonferroni markers: 8; top 15,323,414 at -log10p 8.84, 91% along the chromosome	MATCH	pos1_2023_gemma_loco.csv.gz + eigen_independent_tests.tsv
P4b	pos-1 pilot	QTL in the CENTER of chromosome X passed Bonferroni	centre of chrX	single chrX Bonferroni marker at 4,875,969 (-log10p 7.83), which is 28% along a 17.72 Mb chromosome	CHECK	pos1_2023_gemma_loco.csv.gz
P4c	pos-1 pilot	a third QTL on the right arm of chromosome III above the eigen threshold	chrIII right arm, eigen only	peak 12,718,465 at -log10p 6.31 (92% along chromosome), above eigen 4.60, below Bonferroni 6.97; 14 supporting markers within 100 kb	MATCH	pos1_2023_gemma_loco.csv.gz
P4d	pos-1 pilot	(not stated in the draft) chromosome III also carries a Bonferroni-passing marker	not mentioned	chrIII marker 5,965,738 clears Bonferroni at -log10p 8.68 with 0 supporting markers within 100 kb; the repository discards it as unsupported (FIGURE_REPORT.md, GWAS interval admission)	CHECK	pos1_2023_gemma_loco.csv.gz + FIGURE_REPORT.md
C3	Pooled + cross	pooled pos-1 peak lies just 0.4 Mb from the pilot association	0.4 Mb	pilot chrIII right-arm peak 12,718,465 vs pooled peak 12,353,680 = 0.365 Mb apart	MATCH	pos1_2023_gemma_loco.csv.gz + bundle $gwas_sig
C1	Pooled + cross	pool grown on dsRNA against nine target genes plus HT115 control	9 targets + control	10 RNAi targets phenotyped, 93 strains each: fog-2, mig-6, pos-1, rde-3, ric-3, rpn-12, spe-19, spe-43, unc-39, vha-5	MISMATCH	bundle $pheno; pooled_vst_traits.csv.gz carries the same 10 delta_ctrl columns
