proteome	species	group	depth_rank	accession	percent_identity	query_coverage	evalue	is_ortholog
UP000001940	Caenorhabditis elegans	Elegans group	0	G5EEV9	100.0	100.0	0	TRUE
UP000008549	Caenorhabditis briggsae	Elegans group	1	A8XSB8	41.9	100.0	4.43e-62	TRUE
UP000230233	Caenorhabditis nigoni	Elegans group	1	A0A2G5UT38	42.3	100.0	2.7e-61	TRUE
UP000095282	Caenorhabditis tropicalis	Elegans group	1	A0A1I7TM24	47.9	95.0	1.45e-87	TRUE
UP000008281	Caenorhabditis remanei	Elegans group	1	E3LYG5	43.1	100.0	8.06e-71	TRUE
UP000216463	Caenorhabditis latens	Elegans group	1	A0A261BV85	48.3	100.0	6.5e-81	TRUE
UP000008068	Caenorhabditis brenneri	Elegans group	1	G0ML34	42.8	98.0	2.22e-57	TRUE
UP000005237	Caenorhabditis japonica	Japonica group	2	A0A8R1DPT1	64.3	47.0	2.55e-53	TRUE
UP000494206	Caenorhabditis bovis	basal Caenorhabditis	3	A0A8S1F7L6	45.5	14.0	2.2	FALSE
UP000835052	Caenorhabditis auriculariae	Angaria group	3	A0A8S1H7Y8	32.6	14.0	0.15	FALSE
UP001152747	Caenorhabditis angaria	Angaria group	3	A0A9P1N397	28.6	93.0	7.14e-18	TRUE
UP000218231	Diploscapter pachys	Rhabditidae (sister genus)	4	A0A2A2JYI7	24.7	30.0	4.1	FALSE
UP001328107	Pristionchus mayeri	Diplogastridae	5	A0AAN5CQ80	30.0	19.0	0.83	FALSE
UP000095283	Heterorhabditis bacteriophora	Heterorhabditidae	5	A0A1I7XUH2	26.5	30.0	0.62	FALSE
UP000025227	Haemonchus contortus	Strongylida (clade V)	6	A0A7I5E9P0	31.0	41.0	0.007	FALSE
UP000492821	Panagrellus redivivus	Panagrolaimomorpha (clade IV)	7	A0A7E4VDI2	24.7	42.0	1.5	FALSE
UP000035682	Strongyloides ratti	Panagrolaimomorpha (clade IV)	7	A0A090L2T1	31.1	18.0	1.9	FALSE
UP000659654	Bursaphelenchus xylophilus	Tylenchomorpha (clade IV)	7	A0A7I8XEM1	26.4	35.0	2.1	FALSE
UP000006672	Brugia malayi	Spiruromorpha (clade III)	8	A0A4E9FV15	36.5	16.0	3.2	FALSE
UP000054776	Trichinella spiralis	Dorylaimia (clade I)	9	A0A0V1BU79	25.6	29.0	0.33	FALSE
