key	cross	label	chrom	marker	cross_LOD	peak.position	gene	class	gene_start	dist_to_peak_kb
N2xXZ1516 | mig6 vs par1	N2xXZ1516	mig6 vs par1	III	III:12993488-13733893	825.0090546587	13365030	sid-2	dsRNA uptake	13679445	314.415
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	X	X:6654911-7585420	797.961752045622	7151301	sid-5	dsRNA uptake	6904721	245.452
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	V	V:13581302-13972722	730.261431098777	13805216	rde-12	RNAi machinery	13665389	135.924
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	X	X:5554409-7987415	361.427266000544	5955109	sid-5	dsRNA uptake	6904721	949.612
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	III	III:13134217-13763178	334.664787978512	13445021	sid-2	dsRNA uptake	13679445	234.424
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	IV	IV:6730318-8520854	196.187700369613	7135417	rde-8	RNAi machinery	7101379	32.156
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	IV	IV:6730318-8520854	196.187700369613	7135417	nrde-4	RNAi machinery	7646320	510.903
N2xXZ1516 | mig6 vs rpn12	N2xXZ1516	mig6 vs rpn12	IV	IV:6730318-8520854	196.187700369613	7135417	vha-5	RNAi target	8303968	1168.551
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	IV	IV:6849950-9594150	155.837995286978	8975323	rde-8	RNAi machinery	7101379	1872.062
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	IV	IV:6849950-9594150	155.837995286978	8975323	nrde-4	RNAi machinery	7646320	1321.061
N2xXZ1516 | ht115 vs mig6	N2xXZ1516	ht115 vs mig6	IV	IV:6849950-9594150	155.837995286978	8975323	vha-5	RNAi target	8303968	667.952
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	IV	IV:7811403-10012131	151.454661480371	8865291	vha-5	RNAi target	8303968	557.92
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	III	III:13679460-13783557	139.716308730875	13783557	sid-2	dsRNA uptake	13679445	101.107
N2xXZ1516 | pos1 vs vha5	N2xXZ1516	pos1 vs vha5	V	V:13518979-14035679	121.591625229714	13735008	rde-12	RNAi machinery	13665389	65.716
N2xXZ1516 | par1 vs vha5	N2xXZ1516	par1 vs vha5	III	III:13071837-13783557	103.825654876524	13504861	sid-2	dsRNA uptake	13679445	174.584
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	III	III:7930932-8083203	80.1080921378788	8005829	dcr-1	RNAi machinery	8071967	66.138
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	IV	IV:12782391-13962713	74.1496380161877	13594999	rde-11	RNAi machinery	13105200	488.072
N2xXZ1516 | pos1 vs rpn12	N2xXZ1516	pos1 vs rpn12	IV	IV:12782391-13962713	74.1496380161877	13594999	rsd-2	RNAi machinery	13521970	54.734
N2xXZ1516 | mig6 vs vha5	N2xXZ1516	mig6 vs vha5	IV	IV:6874645-7413025	68.3684334797199	7144853	rde-8	RNAi machinery	7101379	41.592
N2xXZ1516 | pos1 vs par1	N2xXZ1516	pos1 vs par1	IV	IV:6255918-7033170	65.8373467139911	6595032	drh-1	RNAi machinery	6607376	12.344
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	IV	IV:4691159-7592922	56.7000979266207	6418023	drh-1	RNAi machinery	6607376	189.353
JU1793xJU2466 | ht115 vs pos1	JU1793xJU2466	ht115 vs pos1	IV	IV:4691159-7592922	56.7000979266207	6418023	rde-8	RNAi machinery	7101379	683.356
N2xXZ1516 | pos1 vs mig6	N2xXZ1516	pos1 vs mig6	II	II:753292-1015936	43.681076559782	845122	alg-2	RNAi machinery	873212	28.09
N2xXZ1516 | rpn12 vs vha5	N2xXZ1516	rpn12 vs vha5	III	III:7939409-8427060	41.226930261532	8044492	dcr-1	RNAi machinery	8071967	27.475
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	9681496	rde-2	RNAi machinery	7280466	2398.572
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	9681496	rrf-1	RNAi machinery	7643431	2031.719
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	9681496	drh-3	RNAi machinery	7820831	1855.118
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	9681496	rsd-6	RNAi machinery	8358248	1317.638
JU1793xJU2466 | ht115 vs mig6	JU1793xJU2466	ht115 vs mig6	I	I:6908784-10518865	39.0711377758988	9681496	mut-16	RNAi machinery	10080159	398.663
N2xXZ1516 | par1 vs rpn12	N2xXZ1516	par1 vs rpn12	I	I:8350659-9081485	37.7167834737789	8575182	rsd-6	RNAi machinery	8358248	211.324
N2xXZ1516 | ht115 vs rpn12	N2xXZ1516	ht115 vs rpn12	I	I:9598809-10093840	17.1158262498944	9855068	mut-16	RNAi machinery	10080159	225.091
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	I	I:6870033-8471837	16.5501052022681	7650855	rde-2	RNAi machinery	7280466	367.931
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	I	I:6870033-8471837	16.5501052022681	7650855	rrf-1	RNAi machinery	7643431	1.078
JU1793xJU2466 | mig6 vs pos1	JU1793xJU2466	mig6 vs pos1	I	I:6870033-8471837	16.5501052022681	7650855	drh-3	RNAi machinery	7820831	169.976
